Round,Total_Traffic_KB,Agg_Time_Sec,Server_CPU,Server_RAM
1,10984.7705078125,2105.6331429481506,0.1,17.4
2,10984.7705078125,2188.3433191776276,0.1,17.7
3,10984.7705078125,2166.2318346500397,0.1,18.2
4,10984.7705078125,2177.088582754135,0.1,17.6
5,10984.7705078125,2184.140766620636,0.1,17.9
6,10984.7705078125,2180.1950657367706,0.1,18.0
7,10984.7705078125,2180.5858414173126,0.0,17.9
8,10984.7705078125,2154.54417347908,0.1,17.9
9,10984.7705078125,2163.4607248306274,0.1,18.4
10,10984.7705078125,2147.971096277237,0.0,18.4
11,10984.7705078125,2159.228885412216,0.4,17.4
12,10984.7705078125,2154.6912162303925,0.1,18.0
13,10984.7705078125,2134.324014902115,0.0,18.0
14,10984.7705078125,2148.6523220539093,0.0,18.0
15,10984.7705078125,2139.5991430282593,0.1,18.0
16,10984.7705078125,2137.401815891266,0.1,17.4
17,10984.7705078125,2148.0631716251373,0.0,17.7
18,10984.7705078125,2141.4929900169373,0.0,17.8
19,10984.7705078125,2174.1861579418182,0.1,17.5
20,10984.7705078125,2146.012675046921,0.0,17.7
