Round,Global_Test_Accuracy,Train_Time,CPU_Usage,RAM_Usage
1,0.1,792.6413147449493,91.2,34.0
2,0.4818,793.9456305503845,86.0,37.2
3,0.6762,809.3107249736786,79.5,34.2
4,0.7135,796.6430613994598,81.0,36.3
5,0.7729,805.469964504242,80.2,34.2
6,0.7995,793.3852059841156,81.1,34.4
7,0.8156,805.0734829902649,80.7,34.3
8,0.836,807.6599547863007,81.8,35.7
9,0.8405,802.8361542224884,81.2,34.2
10,0.852,796.6139075756073,80.4,35.4
11,0.8641,803.5172593593597,79.8,34.3
12,0.868,802.165545463562,80.8,37.2
13,0.88,798.4557876586914,80.7,36.8
14,0.8842,797.2091543674469,80.3,34.2
15,0.8841,796.1400284767151,80.9,36.9
16,0.8912,804.3357591629028,79.3,34.3
17,0.8928,805.4162621498108,81.4,34.4
18,0.8926,813.142335653305,80.4,34.1
19,0.8928,795.5299398899078,81.9,34.3
20,0.8931,799.9012296199799,80.5,34.0
