Round,Global_Test_Accuracy,Train_Time,CPU_Usage,RAM_Usage
1,0.1,787.2505257129669,91.4,36.1
2,0.4818,795.9035768508911,85.9,36.1
3,0.6762,803.9528429508209,79.9,36.2
4,0.7135,797.4736335277557,80.3,36.1
5,0.7729,802.7229998111725,80.2,35.0
6,0.7995,792.138436794281,80.6,35.6
7,0.8156,799.1894783973694,79.9,35.9
8,0.836,802.8340888023376,80.5,36.2
9,0.8405,792.4562857151031,80.6,35.9
10,0.852,792.1723742485046,79.6,36.7
11,0.8641,802.4212920665741,79.2,35.9
12,0.868,802.581015586853,80.8,34.8
13,0.88,787.1677827835083,80.8,36.4
14,0.8842,796.700455904007,79.2,35.3
15,0.8841,797.8727996349335,80.7,36.4
16,0.8912,798.0708093643188,80.0,36.3
17,0.8928,815.1456003189087,80.5,35.1
18,0.8926,803.8343586921692,81.2,35.2
19,0.8928,799.5607376098633,80.4,35.9
20,0.8931,797.7673614025116,81.0,36.1
