Round,Global_Test_Accuracy,Train_Time,CPU_Usage,RAM_Usage
1,0.099,1092.0820348262787,93.4,30.4
2,0.7,1107.6279921531677,91.7,35.5
3,0.7816,1107.2934925556183,93.6,31.1
4,0.7992,1111.1376359462738,93.4,32.9
5,0.8195,1102.9905071258545,93.6,36.1
6,0.8476,1103.6229944229126,93.2,30.7
7,0.8562,1093.11580824852,93.4,34.5
8,0.8578,1105.9115347862244,92.2,35.6
9,0.8655,1103.7645826339722,93.0,35.9
10,0.8802,1102.5478088855743,93.2,35.6
11,0.8848,1101.3878796100616,93.3,35.4
12,0.8905,1102.7841050624847,92.5,34.8
13,0.8936,1114.4687058925629,93.0,35.3
14,0.8981,1100.0307195186615,93.6,34.3
15,0.9003,1101.2144043445587,92.2,34.3
16,0.9038,1097.6707682609558,92.5,34.8
17,0.9042,1084.050083398819,94.0,34.3
18,0.9049,1110.5906097888947,90.8,34.4
19,0.9049,1087.7322053909302,93.8,35.2
20,0.9058,1108.430561542511,92.6,34.7
