Round,Global_Test_Accuracy,Train_Time,CPU_Usage,RAM_Usage
1,0.099,1123.2726526260376,92.3,32.5
2,0.7,1094.8224518299103,93.2,33.5
3,0.7816,1088.7343580722809,92.5,35.6
4,0.7992,1104.542697429657,91.6,35.1
5,0.8195,1108.6629464626312,92.8,35.0
6,0.8476,1108.4474232196808,93.0,35.5
7,0.8562,1109.1215333938599,93.1,36.2
8,0.8578,1110.9199900627136,92.9,32.4
9,0.8655,1105.8516857624054,93.0,32.3
10,0.8802,1104.3042902946472,93.1,32.6
11,0.8848,1115.0345888137817,93.0,32.5
12,0.8905,1105.9000487327576,93.0,35.8
13,0.8936,1096.258537054062,93.3,35.7
14,0.8981,1115.5334868431091,91.5,36.3
15,0.9003,1117.5551300048828,92.9,34.0
16,0.9038,1090.9557456970215,93.3,35.4
17,0.9042,1113.770408630371,92.5,32.4
18,0.9049,1098.3660757541656,93.2,31.9
19,0.9049,1097.2882406711578,92.4,32.2
20,0.9058,1101.7544803619385,93.2,32.4
